fact_uid,corpus_id,topic,relation,reviewer_class,reviewer_reason,fact_text_excerpt
BCSGK-0061,,Education,STATED_AS,,,বাংলাদেশ সরকারি কর্ম কমিশন (পিএসসি) বিসিএস পরীক্ষা পরিচালনা করে প্রজাতন্ত্রের কর্মকর্তা নিয়োগের জন্য।
BCSGK-0070,,International Relations,STATED_AS,,,"বাংলাদেশ ওআইসি (ইসলামী সহযোগিতা সংস্থা)-এর সদস্য, যা ৫৭টি মুসলিম-সংখ্যাগরিষ্ঠ দেশের সংগঠন।"
BCSGK-0079,,Science & Technology,STATED_AS,,,"Dr. Maksudul Alam led the team that sequenced the genome of jute in 2010, a first for Bangladesh."
BCSGK-0084,,Sports,STATED_AS,,,বাংলাদেশের জাতীয় ক্রিকেট দলের প্রথম টেস্ট ম্যাচ ছিল ভারতের বিরুদ্ধে ২০০০ সালের নভেম্বরে।
BCSGK-0085,,Sports,STATED_AS,,,Grameenphone Dhaka Premier League and the Bangladesh Premier League are the top domestic cricket tournaments.
BCSGK-0087,,Infrastructure,STATED_AS,,,"The Dhaka Metro Rail (MRT Line-6), Bangladesh's first metro system, began commercial operations on 28 December 2022."
BCSGK-0090,,Infrastructure,STATED_AS,,,"The Karnaphuli Tunnel under the Karnaphuli River in Chattogram is the first underwater tunnel in South Asia, completed in 2023."
BCSGK-0106,,Defense,STATED_AS,,,"The Bangladesh Armed Forces consist of three branches: the Bangladesh Army, the Bangladesh Navy, and the Bangladesh Air Force."
BCSGK-0372,Q250,Bangladesh Affairs,STATED_AS,,,"চাকমা শরণার্থীদের দ্বিতীয় দফায় ১ম অর্থাৎ ২১ জুলাই, ১৯৯৪ তারিখে ৩৭৫ জন বাংলাদেশে প্রত্যাবর্তন করেন।"
BCSGK-0381,Q259,Bangladesh Affairs,STATED_AS,,,কৃষি বিশ্ববিদ্যালয়ের প্রথম উপাচার্য ছিলেন ড. ওসমান গণি।
BCSGK-0385,Q263,Bangladesh Affairs,STATED_AS,,,"৩০ মে, ২০০১ ধানমন্ত্রির সেন্ট্রাল হসপিটালে ড. পারভীন ফাতেমার সার্বিক তত্ত্বাবধানে ফিরোজা বেগম- হীরা, মণি ও মুক্তা নামে ৩টি টেস্ট টিউব শিশুর মা হন।"
BCSGK-0518,Q395,Government,founded,,,"বাংলাদেশের রাজনীতি ব্যক্তিকে কেন্দ্র করে আবর্তিত হয়, ধারণা বা প্রতিষ্ঠানকে কেন্দ্র করে নয়— এই মন্তব্যটি আমেরিকান ঐতিহাসিক লরেন্স জিরিং এর। তিনি তার বই 'Bangladesh: from Mujib to Ershad: an interpretive study'-তে এ মন্তব্যটি করেন।"
BCSGK-0519,Q396,Government,STATED_AS,,,"প্রতিনিধিত্বমূলক গণতন্ত্রে সংখ্যাগরিষ্ঠ দল যখন গণবিরোধী কাজে লিপ্ত না হয়, স্বেচ্ছাচারী ও দুর্নীতিপরায়ণ না হয় সেদিকে খেয়াল রাখে বিরোধী দল। সরকারের দুর্নীতি, দুঃশাসন ও অব্যবস্থাপনা সংসদে তুলে ধরে জনগণকে সচেতন ও প্রতিবাদী করে তোলে বিরোধী দ"
BCSGK-0532,Q410,Government,STATED_AS,,,"চাপ সৃষ্টিকারী গোষ্ঠী হচ্ছে এমন এক গোষ্ঠী যার সদস্যগণ সমজাতীয় মনোভাব এবং স্বার্থের দ্বারা আবদ্ধ। Almond ও Powel চাপ সৃষ্টিকারী গোষ্ঠীকে চার ভাগে ভাগ করেছেন। যথা: ১. Institutional Interest Groups, ২. The Associational Interest Groups, ৩. An"
BCSGK-0533,Q411,Government,STATED_AS,,,"সুশীল সমাজ সরকার ও প্রাইভেট সেক্টরের মাঝামাঝি একটি গ্রুপ। এরা সরকার ও প্রাইভেট সেক্টর উভয় ক্ষেত্রেই তাদের প্রভাব বিস্তার করতে পারে। বাংলাদেশের কিছু সুশীল সমাজের উদাহরণ- TIB, সনাক, BLAST, BELA, CDP, সুজন, আসক প্রভৃতি।"
BCSGK-0539,Q417,Government,enacted,,,প্রশ্নে উল্লিখিত 'counting vote' না হয়ে 'casting vote' হবে। জাতীয় সংসদে কোন বিল প্রণয়নের ক্ষেত্রে পরস্পর বিরোধী পক্ষদের ভোট সমান হলে জয় পরাজয় নির্ধারণের জন্য স্পিকার যে ভোট দেন তাকে কাস্টিং ভোট বলে।
BCSGK-0540,Q418,Government,enacted,,,"যে কোনো দেশের আইন পরিষদ এক কক্ষ অথবা দ্বিকক্ষ বিশিষ্ট হয়ে থাকে। বাংলাদেশের জাতীয় সংসদ এক কক্ষ বিশিষ্ট। ভারত, যুক্তরাষ্ট্র ও ব্রিটেনের আইনসভা দ্বিকক্ষ বিশিষ্ট।"
BCSGK-0541,Q419,Government,enacted,,,"সংসদের ৭২(১) বিধি অনুসারে মন্ত্রী ব্যতীত সকল সংসদ সদস্য সংসদে বিল উত্থাপনের নোটিশ দিতে পারে। মন্ত্রী ব্যতীত অন্য সংসদ সদস্য কর্তৃক উত্থাপিত বিলকে বেসরকারি বিল বলে। উল্লেখ্য, সংসদে মন্ত্রিপরিষদের সদস্যদের উত্থাপিত বিলকে সরকারি বিল বলা হয়।"
BCSGK-0550,Q428,Government,ruled,,,অ্যাটর্নি জেনারেল বাংলাদেশের প্রধান আইন কর্মকর্তা।
BCSGK-0558,Q437,Government,ruled,,,মেজর জেনারেল কে এম শফিউল্লাহ ১৯৭৫ সালের ১৫ আগস্ট ভোর রাত পর্যন্ত বাংলাদেশের সেনাবাহিনীর প্রধান ছিলেন।
BCSGK-0562,Q442,Government,amended,,,"বিচার বিভাগ সংবিধান রক্ষা, আইনের ব্যাখ্যা দান, আইন প্রণয়নের সময় সাংবিধানিক মূলনীতির কোনো ব্যত্যয় ঘটছে কিনা তার পর্যালোচনা, আইন লঙ্ঘনকারীদের শাস্তি প্রয়োগ প্রভৃতি কাজ করে। আইন পরিষদ সংবিধান সংশোধনও করে থাকে। শাসন বিভাগ আইন প্রয়োগ করে।"
BCSGK-0573,Q453,Government,ruled,,,উল্লিখিত অপশনগুলোর মধ্যে একমাত্র পটুয়াখালীতেই রেল যোগাযোগ নেই। বাকি জেলাগুলোতে রেল সংযোগ স্থাপিত হয়েছে।
BCSGK-0577,Q457,Government,ruled,,,"নাগাল্যান্ড রাজ্যের সাথে বাংলাদেশের কোনো ভূমি সীমানা নেই। বাংলাদেশ ভারতের মোট পাঁচটি রাজ্যের সাথে তার স্থল সীমানা ভাগ করে। রাজ্যগুলো হলো: ১. পশ্চিমবঙ্গ (West Bengal), ২. আসাম (Assam), ৩. মেঘালয় (Meghalaya), ৪. ত্রিপুরা (Tripura) ও ৫. মিজোর"
BCSGK-0578,Q458,Government,ruled,,,বাংলাদেশের প্রশাসনিক কাঠামো মূলত কেন্দ্রীভূত। কারণ অধিকাংশ সিদ্ধান্ত ও ক্ষমতা কেন্দ্রীয় সরকারের হাতে ন্যস্ত থাকে।
BCSGK-0580,Q460,Government,ruled,,,মোহাম্মাদ হানিফ ঢাকা সিটি কর্পোরেশনের প্রথম নির্বাচিত মেয়র ছিলেন।
BCSGK-0585,Q466,Government,ruled,,,"আশির দশকের প্রথমদিকে দেশব্যাপী প্রশাসনিক সংস্কারের অংশ হিসেবে পার্বত্য চট্টগ্রামকে ৩টি স্বতন্ত্র জেলায় বিভক্ত করা হয়। জেলাগুলো হচ্ছে- ১. রাঙামাটি, ২. খাগড়াছড়ি, ৩. বান্দরবান।"
BCSGK-0597,Q479,Government,STATED_AS,,,বাংলাদেশ একটি গণপ্রজাতান্ত্রিক ও এককেন্দ্রিক রাষ্ট্র। এই রাষ্ট্রের সকল ক্ষমতার মালিক জনগণ। বাংলাদেশের সরকার ব্যবস্থা সংসদীয় পদ্ধতির।
BCSGK-0600,Q482,Government,enacted,,,"সংসদ নেতা হলেন বাংলাদেশের জাতীয় সংসদে শাসক দলের নেতা, যিনি জাতীয় সংসদে সরকারের কার্যক্রম নির্ধারণ ও পরিচালনার জন্য দায়ী থাকেন। বাংলাদেশের প্রথম সংসদ নেতা ছিলেন শেখ মুজিবুর রহমান।"
BCSGK-0606,Q488,Bangladesh Affairs,member_of,,,বাংলাদেশ জাতিসংঘের ১৩৬তম সদস্য।
BCSGK-0611,Q493,Bangladesh Affairs,member_of,,,বঙ্গবন্ধু শেখ মুজিবুর রহমান জাতিসংঘের সাধারণ পরিষদের অধিবেশনে বাংলা ভাষায় বক্তৃতা প্রদান করেন।
