pilot_id,fact_id,claim_text,final_routing_class,temporal_class,source_route,allowed_source_types,required_temporal_fields,source_query_template_1,source_query_template_2,intake_status,evidence_verified,model_b_merge_allowed
M3A-PILOT-001,BCSGK-0065,"The Bangladesh Madrasah Education Board oversees over 9,000 madrasahs across the country.",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""The Bangladesh Madrasah Education Board oversees over 9,000 madrasahs across the country."" pre-cutoff mediawiki pre cutoff revision or official history","""The Bangladesh Madrasah Education Board oversees over 9,000 madrasahs across the country."" official source 2023-04-19",not_started,false,false
M3A-PILOT-002,BCSGK-0074,"Bangabandhu-1, Bangladesh's first geostationary communications satellite, was launched on 12 May 2018 by SpaceX.",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""Bangabandhu-1, Bangladesh's first geostationary communications satellite, was launched on 12 May 2018 by SpaceX."" pre-cutoff mediawiki pre cutoff revision or official history","""Bangabandhu-1, Bangladesh's first geostationary communications satellite, was launched on "" official source 2023-04-19",not_started,false,false
M3A-PILOT-003,BCSGK-0078,Bangladesh's submarine cable connection to the SEA-ME-WE 4 network provides international internet bandwidth since 2006.,static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""Bangladesh's submarine cable connection to the SEA-ME-WE 4 network provides international internet bandwidth since 2006."" pre-cutoff mediawiki pre cutoff revision or official history","""Bangladesh's submarine cable connection to the SEA-ME-WE 4 network provides international "" official source 2023-04-19",not_started,false,false
M3A-PILOT-004,BCSGK-0079,"Dr. Maksudul Alam led the team that sequenced the genome of jute in 2010, a first for Bangladesh.",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""Dr. Maksudul Alam led the team that sequenced the genome of jute in 2010, a first for Bangladesh."" pre-cutoff mediawiki pre cutoff revision or official history","""Dr. Maksudul Alam led the team that sequenced the genome of jute in 2010, a first for Bang"" official source 2023-04-19",not_started,false,false
M3A-PILOT-005,BCSGK-0081,Shakib Al Hasan is the highest wicket-taker for Bangladesh in international cricket with over 700 wickets across formats.,static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""Shakib Al Hasan is the highest wicket-taker for Bangladesh in international cricket with over 700 wickets across formats."" pre-cutoff mediawiki pre cutoff revision or official history","""Shakib Al Hasan is the highest wicket-taker for Bangladesh in international cricket with o"" official source 2023-04-19",not_started,false,false
M3A-PILOT-006,BCSGK-0084,বাংলাদেশের জাতীয় ক্রিকেট দলের প্রথম টেস্ট ম্যাচ ছিল ভারতের বিরুদ্ধে ২০০০ সালের নভেম্বরে।,static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""বাংলাদেশের জাতীয় ক্রিকেট দলের প্রথম টেস্ট ম্যাচ ছিল ভারতের বিরুদ্ধে ২০০০ সালের নভেম্বরে।"" pre-cutoff mediawiki pre cutoff revision or official history","""বাংলাদেশের জাতীয় ক্রিকেট দলের প্রথম টেস্ট ম্যাচ ছিল ভারতের বিরুদ্ধে ২০০০ সালের নভেম্বরে।"" official source 2023-04-19",not_started,false,false
M3A-PILOT-007,BCSGK-0085,Grameenphone Dhaka Premier League and the Bangladesh Premier League are the top domestic cricket tournaments.,static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""Grameenphone Dhaka Premier League and the Bangladesh Premier League are the top domestic cricket tournaments."" pre-cutoff mediawiki pre cutoff revision or official history","""Grameenphone Dhaka Premier League and the Bangladesh Premier League are the top domestic c"" official source 2023-04-19",not_started,false,false
M3A-PILOT-008,BCSGK-0087,"The Dhaka Metro Rail (MRT Line-6), Bangladesh's first metro system, began commercial operations on 28 December 2022.",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""The Dhaka Metro Rail (MRT Line-6), Bangladesh's first metro system, began commercial operations on 28 December 2022."" pre-cutoff mediawiki pre cutoff revision or official history","""The Dhaka Metro Rail (MRT Line-6), Bangladesh's first metro system, began commercial opera"" official source 2023-04-19",not_started,false,false
M3A-PILOT-009,BCSGK-0089,"বাংলাদেশ রেলওয়ে ২,৯৫৬ কিলোমিটার রেলপথ পরিচালনা করে, যার মধ্যে ব্রড গেজ ও মিটার গেজ উভয়ই রয়েছে।",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""বাংলাদেশ রেলওয়ে ২,৯৫৬ কিলোমিটার রেলপথ পরিচালনা করে, যার মধ্যে ব্রড গেজ ও মিটার গেজ উভয়ই রয়েছে।"" pre-cutoff mediawiki pre cutoff revision or official history","""বাংলাদেশ রেলওয়ে ২,৯৫৬ কিলোমিটার রেলপথ পরিচালনা করে, যার মধ্যে ব্রড গেজ ও মিটার গেজ উভয়ই রয়"" official source 2023-04-19",not_started,false,false
M3A-PILOT-010,BCSGK-0106,"The Bangladesh Armed Forces consist of three branches: the Bangladesh Army, the Bangladesh Navy, and the Bangladesh Air Force.",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""The Bangladesh Armed Forces consist of three branches: the Bangladesh Army, the Bangladesh Navy, and the Bangladesh Air Force."" pre-cutoff mediawiki pre cutoff revision or official history","""The Bangladesh Armed Forces consist of three branches: the Bangladesh Army, the Bangladesh"" official source 2023-04-19",not_started,false,false
M3A-PILOT-011,BCSGK-0107,"Bangladesh Armed Forces Day is observed on 21 November, commemorating the 1971 Liberation War.",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""Bangladesh Armed Forces Day is observed on 21 November, commemorating the 1971 Liberation War."" pre-cutoff mediawiki pre cutoff revision or official history","""Bangladesh Armed Forces Day is observed on 21 November, commemorating the 1971 Liberation "" official source 2023-04-19",not_started,false,false
M3A-PILOT-012,BCSGK-0108,"BNS Bangabandhu is the flagship of the Bangladesh Navy, a guided missile frigate commissioned in 2001.",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""BNS Bangabandhu is the flagship of the Bangladesh Navy, a guided missile frigate commissioned in 2001."" pre-cutoff mediawiki pre cutoff revision or official history","""BNS Bangabandhu is the flagship of the Bangladesh Navy, a guided missile frigate commissio"" official source 2023-04-19",not_started,false,false
M3A-PILOT-013,BCSGK-0286,"পাট, চা, চামড়ার মতো স্থানীয় কাঁচামাল-নির্ভর পণ্য রপ্তানী বহুমুখীকরণে সবচেয়ে বেশি সম্ভাবনাময়। বাংলাদেশের গবেষকরা পাটতন্তু দিয়ে সুতা তৈরির পদ্ধতি উদ্ভাবন করেছেন, যা পোশাক শিল্পের কাঁচামাল হিসেবে ব্যবহৃত হতে পারে।",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""পাট, চা, চামড়ার মতো স্থানীয় কাঁচামাল-নির্ভর পণ্য রপ্তানী বহুমুখীকরণে সবচেয়ে বেশি সম্ভাবনাময়। বাংলাদেশের গবেষকরা পাটতন্তু দিয়ে সুতা তৈরি"" pre-cutoff mediawiki pre cutoff revision or official history","""পাট, চা, চামড়ার মতো স্থানীয় কাঁচামাল-নির্ভর পণ্য রপ্তানী বহুমুখীকরণে সবচেয়ে বেশি সম্ভাব"" official source 2023-04-19",not_started,false,false
M3A-PILOT-014,BCSGK-0288,"স্বাধীনতার পর থেকে বাংলাদেশের ধানের উৎপাদন তিন গুণেরও বেশি, গম দ্বিগুণ, সবজি পাঁচ গুণ এবং ভুট্টার উৎপাদন বেড়েছে ১০ গুণ।",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""স্বাধীনতার পর থেকে বাংলাদেশের ধানের উৎপাদন তিন গুণেরও বেশি, গম দ্বিগুণ, সবজি পাঁচ গুণ এবং ভুট্টার উৎপাদন বেড়েছে ১০ গুণ।"" pre-cutoff mediawiki pre cutoff revision or official history","""স্বাধীনতার পর থেকে বাংলাদেশের ধানের উৎপাদন তিন গুণেরও বেশি, গম দ্বিগুণ, সবজি পাঁচ গুণ এবং "" official source 2023-04-19",not_started,false,false
M3A-PILOT-015,BCSGK-0289,"১৯৬০ সালে পূর্ব পাকিস্তানে প্রথম কৃষিশুমারি অনুষ্ঠিত হয়। স্বাধীন বাংলাদেশে এ পর্যন্ত ৫টি কৃষিশুমারি অনুষ্ঠিত হয়েছে: ১৯৭৭, ১৯৮৩-৮৪, ১৯৯৬, ২০০৮ ও ২০১৯ সালে।",static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""১৯৬০ সালে পূর্ব পাকিস্তানে প্রথম কৃষিশুমারি অনুষ্ঠিত হয়। স্বাধীন বাংলাদেশে এ পর্যন্ত ৫টি কৃষিশুমারি অনুষ্ঠিত হয়েছে: ১৯৭৭, ১৯৮৩-৮৪, ১৯৯৬, ২"" pre-cutoff mediawiki pre cutoff revision or official history","""১৯৬০ সালে পূর্ব পাকিস্তানে প্রথম কৃষিশুমারি অনুষ্ঠিত হয়। স্বাধীন বাংলাদেশে এ পর্যন্ত ৫টি "" official source 2023-04-19",not_started,false,false
M3A-PILOT-016,BCSGK-0292,বাংলাদেশের অর্থনৈতিক সেক্টরগুলোর মধ্যে কৃষি খাতে সবচেয়ে বেশি কর্মসংস্থান হয়।,static_historical,static,mediawiki_pre_cutoff_revision_or_official_history,mediawiki_revision;official_history;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256,"""বাংলাদেশের অর্থনৈতিক সেক্টরগুলোর মধ্যে কৃষি খাতে সবচেয়ে বেশি কর্মসংস্থান হয়।"" pre-cutoff mediawiki pre cutoff revision or official history","""বাংলাদেশের অর্থনৈতিক সেক্টরগুলোর মধ্যে কৃষি খাতে সবচেয়ে বেশি কর্মসংস্থান হয়।"" official source 2023-04-19",not_started,false,false
