claim_text,confidence,duplicate_candidate_id,fact_id,heuristic_reason,leakage_flag,object,predicate,priority_band,reviewed_at,reviewer_final_class,reviewer_id,reviewer_notes,reviewer_status,search_template_1,search_template_2,subject,suggested_claim_domain,suggested_source_route,suggested_temporal_class,final_temporal_class,final_claim_domain,final_source_route,final_priority_band,final_leakage_risk,next_action
"বাংলাদেশের মোট আয়তন ১,৪৭,৫৭০ বর্গ কিলোমিটার।",0.45,DUP_0f7aa2c2f4,BCSGK-0019,claim structure is incomplete,not_yet_checked,[],STATED_AS,P4,2026-09-16,duplicate_candidate,RA_1,automation identified a normalized subject-predicate-object collision; do not merge automatically,needs_second_review,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""বাংলাদেশের মোট আয়তন ১,৪৭,৫৭০ বর্গ কিলোমিটার।"" manual review",['Bangladesh'],malformed,manual_review,needs_clarification,needs_clarification,duplicate_candidate,duplicate_resolution,P4,not_yet_checked,compare_duplicate_group_before_sourcing
Muhammad Yunus was appointed as the Chief Adviser of Bangladesh's interim government in August 2024.,0.45,,BCSGK-0025,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,holdout_contaminated,RA_1,"claim explicitly refers to a post-2023 event, value, or source state",rejected,"""Muhammad Yunus"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Muhammad Yunus was appointed as the Chief Adviser of Bangladesh's interim government in August 2024."" manual review",['Muhammad Yunus'],ambiguous,manual_review,needs_clarification,blocked,holdout_contaminated,none_holdout_excluded,P1,confirmed_holdout_leakage,exclude_from_2023_holdout
General Waker-Uz-Zaman was appointed as the Chief of Army Staff of Bangladesh in June 2024.,0.45,,BCSGK-0027,manual claim-type review required,not_yet_checked,['Bangladesh Army'],STATED_AS,P4,2026-09-16,holdout_contaminated,RA_1,"claim explicitly refers to a post-2023 event, value, or source state",rejected,"""Waker-Uz-Zaman"" ""Bangladesh Army"" ""STATED_AS"" pre-2023 official","""General Waker-Uz-Zaman was appointed as the Chief of Army Staff of Bangladesh in June 2024."" manual review",['Waker-Uz-Zaman'],ambiguous,manual_review,needs_clarification,blocked,holdout_contaminated,none_holdout_excluded,P1,confirmed_holdout_leakage,exclude_from_2023_holdout
Abdus Salam served as Bangladesh's first Foreign Secretary from 1971 to 1972.,0.45,,BCSGK-0028,manual claim-type review required,not_yet_checked,['Bangladesh'],STATED_AS,P4,2026-09-16,dynamic_officeholder,RA_1,office-holder or appointment claim requires valid_from/valid_to evidence,approved,"""Abdus Salam"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Abdus Salam served as Bangladesh's first Foreign Secretary from 1971 to 1972."" manual review",['Abdus Salam'],ambiguous,manual_review,needs_clarification,dynamic,dynamic_officeholder,official_appointment_or_gazette,P2,pass,find_cutoff_covering_term_interval
"Bangladesh is the world's second-largest garment exporter after China, with RMG exports exceeding $40 billion in 2023.",0.45,,BCSGK-0032,manual claim-type review required,not_yet_checked,['China'],STATED_AS,P4,2026-09-16,dynamic_statistical,RA_1,"numeric, ranking, rate, or economic claim requires reference-period evidence",approved,"""Bangladesh"" ""China"" ""STATED_AS"" pre-2023 official","""Bangladesh is the world's second-largest garment exporter after China, with RMG exports exceeding $4"" manual review",['Bangladesh'],ambiguous,manual_review,needs_clarification,dynamic,dynamic_statistical,bbs_or_official_statistical_report,P2,pass,find_reference_period_and_pre_cutoff_report
"The official currency of Bangladesh is the Bangladeshi Taka (BDT), managed by Bangladesh Bank.",0.45,,BCSGK-0033,manual claim-type review required,not_yet_checked,['Bangladesh Bank'],STATED_AS,P4,2026-09-16,static_institutional,RA_1,institutional identity or historical establishment claim,approved,"""Bangladeshi Taka"" ""Bangladesh Bank"" ""STATED_AS"" pre-2023 official","""The official currency of Bangladesh is the Bangladeshi Taka (BDT), managed by Bangladesh Bank."" manual review",['Bangladeshi Taka'],ambiguous,manual_review,needs_clarification,static,static_institutional,official_institutional_history,P2,pass,find_pre_cutoff_official_history
"Bangladesh is the world's largest producer of jute, supplying over 33% of global jute output.",0.45,,BCSGK-0034,manual claim-type review required,not_yet_checked,['Jute'],STATED_AS,P4,2026-09-16,dynamic_statistical,RA_1,"numeric, ranking, rate, or economic claim requires reference-period evidence",approved,"""Bangladesh"" ""Jute"" ""STATED_AS"" pre-2023 official","""Bangladesh is the world's largest producer of jute, supplying over 33% of global jute output."" manual review",['Bangladesh'],ambiguous,manual_review,needs_clarification,dynamic,dynamic_statistical,bbs_or_official_statistical_report,P2,pass,find_reference_period_and_pre_cutoff_report
"Bangladesh's GDP was approximately $460 billion (PPP) in 2023, making it the 25th largest economy.",0.45,DUP_0f7aa2c2f4,BCSGK-0035,claim structure is incomplete,not_yet_checked,[],STATED_AS,P4,2026-09-16,duplicate_candidate,RA_1,automation identified a normalized subject-predicate-object collision; do not merge automatically,needs_second_review,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""Bangladesh's GDP was approximately $460 billion (PPP) in 2023, making it the 25th largest economy."" manual review",['Bangladesh'],malformed,manual_review,needs_clarification,needs_clarification,duplicate_candidate,duplicate_resolution,P4,not_yet_checked,compare_duplicate_group_before_sourcing
Remittances from Bangladeshi diaspora workers exceeded $21 billion in 2023.,0.45,DUP_0f7aa2c2f4,BCSGK-0036,claim structure is incomplete,not_yet_checked,[],STATED_AS,P4,2026-09-16,duplicate_candidate,RA_1,automation identified a normalized subject-predicate-object collision; do not merge automatically,needs_second_review,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""Remittances from Bangladeshi diaspora workers exceeded $21 billion in 2023."" manual review",['Bangladesh'],malformed,manual_review,needs_clarification,needs_clarification,duplicate_candidate,duplicate_resolution,P4,not_yet_checked,compare_duplicate_group_before_sourcing
"বাংলাদেশের প্রধান রপ্তানি পণ্য হলো তৈরি পোশাক, যা মোট রপ্তানি আয়ের ৮৪% এরও বেশি।",0.45,DUP_0f7aa2c2f4,BCSGK-0037,claim structure is incomplete,not_yet_checked,[],STATED_AS,P4,2026-09-16,duplicate_candidate,RA_1,automation identified a normalized subject-predicate-object collision; do not merge automatically,needs_second_review,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""বাংলাদেশের প্রধান রপ্তানি পণ্য হলো তৈরি পোশাক, যা মোট রপ্তানি আয়ের ৮৪% এরও বেশি।"" manual review",['Bangladesh'],malformed,manual_review,needs_clarification,needs_clarification,duplicate_candidate,duplicate_resolution,P4,not_yet_checked,compare_duplicate_group_before_sourcing
