fact_id,claim_text,subject,predicate,object,suggested_claim_domain,suggested_temporal_class,suggested_source_route,priority_band,leakage_flag,duplicate_candidate_id,confidence,heuristic_reason,search_template_1,search_template_2,reviewer_final_class,reviewer_status,reviewer_id,reviewed_at,reviewer_notes
BCSGK-0019,"বাংলাদেশের মোট আয়তন ১,৪৭,৫৭০ বর্গ কিলোমিটার।",['Bangladesh'],STATED_AS,[],malformed,needs_clarification,manual_review,P4,not_yet_checked,DUP_0f7aa2c2f4,0.45,claim structure is incomplete,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""বাংলাদেশের মোট আয়তন ১,৪৭,৫৭০ বর্গ কিলোমিটার।"" manual review",,unreviewed,,,
BCSGK-0025,Muhammad Yunus was appointed as the Chief Adviser of Bangladesh's interim government in August 2024.,['Muhammad Yunus'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Muhammad Yunus"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Muhammad Yunus was appointed as the Chief Adviser of Bangladesh's interim government in August 2024."" manual review",,unreviewed,,,
BCSGK-0027,General Waker-Uz-Zaman was appointed as the Chief of Army Staff of Bangladesh in June 2024.,['Waker-Uz-Zaman'],STATED_AS,['Bangladesh Army'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Waker-Uz-Zaman"" ""Bangladesh Army"" ""STATED_AS"" pre-2023 official","""General Waker-Uz-Zaman was appointed as the Chief of Army Staff of Bangladesh in June 2024."" manual review",,unreviewed,,,
BCSGK-0028,Abdus Salam served as Bangladesh's first Foreign Secretary from 1971 to 1972.,['Abdus Salam'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Abdus Salam"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""Abdus Salam served as Bangladesh's first Foreign Secretary from 1971 to 1972."" manual review",,unreviewed,,,
BCSGK-0032,"Bangladesh is the world's second-largest garment exporter after China, with RMG exports exceeding $40 billion in 2023.",['Bangladesh'],STATED_AS,['China'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Bangladesh"" ""China"" ""STATED_AS"" pre-2023 official","""Bangladesh is the world's second-largest garment exporter after China, with RMG exports exceeding $4"" manual review",,unreviewed,,,
BCSGK-0033,"The official currency of Bangladesh is the Bangladeshi Taka (BDT), managed by Bangladesh Bank.",['Bangladeshi Taka'],STATED_AS,['Bangladesh Bank'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Bangladeshi Taka"" ""Bangladesh Bank"" ""STATED_AS"" pre-2023 official","""The official currency of Bangladesh is the Bangladeshi Taka (BDT), managed by Bangladesh Bank."" manual review",,unreviewed,,,
BCSGK-0034,"Bangladesh is the world's largest producer of jute, supplying over 33% of global jute output.",['Bangladesh'],STATED_AS,['Jute'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Bangladesh"" ""Jute"" ""STATED_AS"" pre-2023 official","""Bangladesh is the world's largest producer of jute, supplying over 33% of global jute output."" manual review",,unreviewed,,,
BCSGK-0035,"Bangladesh's GDP was approximately $460 billion (PPP) in 2023, making it the 25th largest economy.",['Bangladesh'],STATED_AS,[],malformed,needs_clarification,manual_review,P4,not_yet_checked,DUP_0f7aa2c2f4,0.45,claim structure is incomplete,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""Bangladesh's GDP was approximately $460 billion (PPP) in 2023, making it the 25th largest economy."" manual review",,unreviewed,,,
BCSGK-0036,Remittances from Bangladeshi diaspora workers exceeded $21 billion in 2023.,['Bangladesh'],STATED_AS,[],malformed,needs_clarification,manual_review,P4,not_yet_checked,DUP_0f7aa2c2f4,0.45,claim structure is incomplete,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""Remittances from Bangladeshi diaspora workers exceeded $21 billion in 2023."" manual review",,unreviewed,,,
BCSGK-0037,"বাংলাদেশের প্রধান রপ্তানি পণ্য হলো তৈরি পোশাক, যা মোট রপ্তানি আয়ের ৮৪% এরও বেশি।",['Bangladesh'],STATED_AS,[],malformed,needs_clarification,manual_review,P4,not_yet_checked,DUP_0f7aa2c2f4,0.45,claim structure is incomplete,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""বাংলাদেশের প্রধান রপ্তানি পণ্য হলো তৈরি পোশাক, যা মোট রপ্তানি আয়ের ৮৪% এরও বেশি।"" manual review",,unreviewed,,,
BCSGK-0039,Bangladesh achieved lower-middle income country status in 2015 according to World Bank classification.,['Bangladesh'],STATED_AS,['World Bank'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Bangladesh"" ""World Bank"" ""STATED_AS"" pre-2023 official","""Bangladesh achieved lower-middle income country status in 2015 according to World Bank classificatio"" manual review",,unreviewed,,,
BCSGK-0059,Bangladesh has a literacy rate of approximately 74.66% as of the 2022 census.,['Bangladesh'],STATED_AS,[],malformed,needs_clarification,manual_review,P4,not_yet_checked,DUP_0f7aa2c2f4,0.45,claim structure is incomplete,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""Bangladesh has a literacy rate of approximately 74.66% as of the 2022 census."" manual review",,unreviewed,,,
BCSGK-0061,বাংলাদেশ সরকারি কর্ম কমিশন (পিএসসি) বিসিএস পরীক্ষা পরিচালনা করে প্রজাতন্ত্রের কর্মকর্তা নিয়োগের জন্য।,['Bangladesh Public Service Commission'],STATED_AS,['Bangladesh'],ambiguous,needs_clarification,manual_review,P4,not_yet_checked,,0.45,manual claim-type review required,"""Bangladesh Public Service Commission"" ""Bangladesh"" ""STATED_AS"" pre-2023 official","""বাংলাদেশ সরকারি কর্ম কমিশন (পিএসসি) বিসিএস পরীক্ষা পরিচালনা করে প্রজাতন্ত্রের কর্মকর্তা নিয়োগের জন্য"" manual review",,unreviewed,,,
BCSGK-0064,The primary education completion rate in Bangladesh reached 98% by 2023.,['Bangladesh'],STATED_AS,[],malformed,needs_clarification,manual_review,P4,not_yet_checked,DUP_0f7aa2c2f4,0.45,claim structure is incomplete,"""Bangladesh"" """" ""STATED_AS"" pre-2023 official","""The primary education completion rate in Bangladesh reached 98% by 2023."" manual review",,unreviewed,,,
